date,Large,Medium,Micro,Small
2019-02-01,36813.36508557692,7342.89875854715,860.2522265174158,514.4841799961052
2019-03-01,34937.033255012415,6871.78049070902,620.3763847713557,607.2468696611753
2019-04-01,34382.52995028699,6628.251622584385,527.4215709614824,586.1022799229999
2019-05-01,33371.061271443235,6678.493849773972,227.66537505142574,643.2295142889706
2019-06-01,32734.275511776657,7543.515834134667,267.5336877647914,827.7867079611199
2019-07-01,31422.134196563784,6009.170023518597,3227.859036129496,885.8133733152002
2019-08-01,34542.365458612774,7663.8590819932,470.5647493868459,927.0788663481112
2019-09-01,34542.24698542311,7222.577196258108,416.1161982285422,840.7001082748931
2019-10-01,33849.16248094462,7413.372179238037,368.0711801696707,807.9094428770446
2019-11-01,33364.87592255322,7256.912510081902,310.4985601237145,791.0987796930011
2019-12-01,30347.892485979257,6880.352848064373,332.55091605247515,711.0061500310056
2020-01-01,30163.09381738476,6970.011241966477,1128.5501212862123,867.2692998083332
2020-02-01,31726.450235915465,6482.238349260008,1086.4171404666515,703.9459171378005
2020-03-01,36371.401162508,6514.482511135072,272.0695487483869,816.8109902711678
2020-04-01,36110.87402028364,6313.53204545178,299.2271762549564,699.7637597702155
2020-05-01,34105.532375930605,6012.640969935402,287.54217015338,748.2770255137026
2020-06-01,35710.32412622411,6185.178370795188,524.5044777564257,739.6679294033192
2020-07-01,33640.0004439411,6213.535972949445,435.85515274464194,590.3916739633108
2020-08-01,32067.155070639223,6023.640282903095,427.946861832685,736.3152061400206
2020-09-01,31145.076560442834,5975.641326621202,355.7275836159381,759.8669314715399
2020-10-01,29720.510231467713,5478.734754166531,320.6858164790878,736.7015600699708
2020-11-01,29847.1784427443,5434.987191895884,304.7410326725718,767.0336279135014
2020-12-01,30792.1747888481,4998.426807406101,332.0069134441669,692.1824797096966
2021-01-01,30087.171892708586,5161.217196304796,259.2171858671299,607.567983178356
2021-02-01,30326.085620468155,5150.691084823674,268.13950481674874,630.231027941094
2021-03-01,30048.4034573154,4789.456794284626,290.8204476447637,680.6137258739086
2021-04-01,31676.453023607733,4963.915689709779,347.0475401215671,774.0148046879144
2021-05-01,34010.317194861454,5191.634903688683,371.9012116988959,857.697397868763
2021-06-01,33425.353508248816,5612.668474439521,523.0055116316744,1075.2668177957808
