date,BA,GO,MG,MT,PA,PR,RJ,RS,SC,SP
2017-08-01,1939.0809427952072,632.2953923276829,4594.335027649631,1694.8501247907755,821.3808078943273,2548.330242252116,10164.316454730048,2638.0586748713517,1104.6112725846608,22525.507489954136
2017-09-01,1547.8137876325306,673.1199016205147,4669.430614062962,1940.9566998809894,902.8104165254825,2640.3283264384113,10320.489016871987,2735.304243029302,1128.081924669533,23134.89956412981
2017-10-01,1046.3993251819852,670.7187128405038,4796.130524431163,1964.6853183563926,927.5691830630752,2596.0834287593902,9913.320947998493,2683.8368104968354,1181.3511973498726,22481.81777492778
2017-11-01,844.9848732897883,581.4821254106272,4694.898717689536,1862.94159703075,842.535854084484,2535.20200438207,9590.29667962568,2678.296330490208,1193.4775622718623,21552.40598624622
2017-12-01,784.1695432092389,607.1632364438476,4551.890924722985,2040.3719104125712,802.5648746517347,2586.006569068241,7961.713176701679,2670.8724892671903,1246.3264709887555,21301.15180599822
2018-01-01,759.237841850401,573.2672476795851,4829.818683611083,2207.8646169360227,787.5679205797156,2594.456178472431,8175.185744392653,2638.3171572305882,1211.8534503452654,22180.887923688777
2018-02-01,838.9978201373317,707.8141930157805,4786.181773587387,2412.022974146736,788.500506046766,2655.535537374428,8009.603885978176,2672.9759835799023,1243.7132581383116,22138.7377321249
2018-03-01,738.3368761586449,827.6911492874739,4659.075842517599,2560.9658031320546,1031.040539776869,2757.493638915717,7973.016468080718,2737.4022068685144,1257.734249448091,22672.961562465105
2018-04-01,921.5316702515479,897.8223184155687,4568.300460750245,2588.823616190673,1024.1917623059087,2884.0733426164556,7598.157460794269,2834.2457732718867,1229.1269084681085,22253.56665924738
2018-05-01,1205.3727998037116,877.3603350083152,4176.432498980872,2982.555673311942,948.2464034722411,2900.6999775186773,7241.897629619019,2797.815458062825,1279.7608887233596,21378.993729908358
2018-06-01,1001.0661322848543,808.122645039683,4092.5007605317483,2788.387290343904,849.732511404026,2784.696015653515,6963.948986282835,2842.3447116462485,1797.8459020439918,20991.513130475214
2018-07-01,999.9841480318354,772.1091816905149,4088.179112458387,2627.0179536959986,839.03053776825,2610.7322210443945,6903.860783428276,2853.4650692477994,1845.8635111030549,20741.634550799645
2018-08-01,913.1679842190073,818.5965214065002,4028.164958539451,2748.4698277289535,850.3079583406828,2874.50876354903,6580.721817883579,2769.5042883320793,1911.985619668543,21089.005204627854
2018-09-01,982.5717961795913,773.0652737753909,3853.665075437074,2638.7350981851837,814.9421581716185,2867.049795264613,6335.885825658111,2622.18601110996,1617.6866381709954,20064.886849502698
2018-10-01,1475.2146793886322,778.0547767593057,4296.9949004378905,2843.103646256256,905.485650750904,2961.742247543444,6812.864002275265,2814.526990684721,1723.0943273772846,21475.894147756477
2018-11-01,1437.5646022321632,782.3545739015815,4191.172883852812,2808.9721205436344,950.5885583496109,2838.2738007482753,6584.144866417588,2844.614755813167,1732.972702260819,20945.36127689405
2018-12-01,1213.3353177462177,853.8564649309222,3941.7735275930313,2681.448438867726,946.0458215942975,2674.0720217279077,6245.975512736184,2872.6431298307007,1749.1021272369892,20578.858462194356
2019-01-01,1237.6826397259592,925.363145487035,3978.127073507342,2472.247727143813,937.1635182535413,2742.2674933568237,6816.194610314468,2805.7114743488164,1807.6197071815307,21925.117336382376
2019-02-01,1243.075777447103,955.5982124240377,3946.3569636169495,2570.4119698309846,962.6610998368261,2802.462577261772,7624.101699078036,2789.1008766151194,1862.8580356457435,22151.22511812312
2019-03-01,1222.5573902723013,919.8482662399598,3810.7139177156682,2638.387909138702,953.9316395918333,2808.9539792619853,6155.680554252284,2683.784557625759,1869.391384888365,21484.992905532257
2019-04-01,1269.0023123419835,872.5025079930809,3714.4831574919826,2673.7060249689566,923.6947536180334,2898.613917411552,6054.2943332416935,2716.5051266506935,1897.9387098764075,21126.442837684062
2019-05-01,1421.6426448829995,909.2848721293465,3499.9252802681776,2616.2206782693406,904.7567772146286,3006.443697481428,5729.3936767586865,2749.995284782138,1903.8335927604624,20943.564917481428
2019-06-01,1524.6301489829775,961.4422460892649,3648.400019358637,2823.311611442671,903.181967987361,3212.675461375255,4184.64008289561,2892.0372792755024,1981.5417519295147,21485.92647544238
2019-07-01,1529.2476745680344,964.3691841507946,3758.6196723646362,2807.3573925646074,799.361630790695,3196.945112447017,4034.8948517762524,2939.83902992897,2060.087348753401,21599.98885795512
2019-08-01,1445.2198171858254,1013.1560463051286,3603.732644486142,2908.609199876996,749.2307942539433,3013.9205857865695,3738.70474024365,2844.950796134827,2066.5486316329225,20555.98241362227
2019-09-01,1453.1621935038454,977.0790148559773,3619.1340514329395,2928.40558089738,689.7147091800338,2938.15018316145,3545.51463340047,2850.3827549588677,2006.4336536484777,20333.286122349484
2019-10-01,1208.6967871716513,943.5376230959041,3567.0092593261456,2925.463730978003,749.7449747784541,2841.6934680219965,3496.87863754216,2757.790987992569,2001.631771667733,20472.018021898035
2019-11-01,1020.2728117215936,930.5448817719586,3444.290409220827,3095.668509771405,770.0062913213271,2828.868387813874,3356.4708636456094,2752.1062078404716,1963.8116116878964,20540.351870270617
2019-12-01,980.3995023782387,844.3512300641236,3621.428890028145,2968.983823344013,771.3886695957378,2771.175248773161,3734.0475683877316,2932.008543623586,1944.043812302202,20175.542109136153
