date,year,month,tf_month,exports_annual,imports_annual,trade_annual,tf_pct_trade
2017-07-01,2017,7,49123.83867420693,258392.31,243568.3,501960.61,9.78639313435509
2017-08-01,2017,8,51080.672866658104,258392.31,243568.3,501960.61,10.176231331509877
2017-09-01,2017,9,52093.40597716798,258392.31,243568.3,501960.61,10.377986825932016
2017-10-01,2017,10,50611.944077516775,258392.31,243568.3,501960.61,10.082851735620606
2017-11-01,2017,11,48678.471698880094,258392.31,243568.3,501960.61,9.697667651427887
2017-12-01,2017,12,46950.28761671182,258392.31,243568.3,501960.61,9.353380859249459
2018-01-01,2018,1,48440.52908119517,280388.75,272844.13,553232.88,8.755902050000204
2018-02-01,2018,2,49001.81712965156,280388.75,272844.13,553232.88,8.8573580676643
2018-03-01,2018,3,50288.29102819988,280388.75,272844.13,553232.88,9.089895565896205
2018-04-01,2018,4,49791.26278751664,280388.75,272844.13,553232.88,9.00005487517601
2018-05-01,2018,5,48440.752518422705,280388.75,272844.13,553232.88,8.755942437554092
2018-06-01,2018,6,47234.41268384882,280388.75,272844.13,553232.88,8.537889628658519
2018-07-01,2018,7,46426.867862507934,280388.75,272844.13,553232.88,8.391921294068409
2018-08-01,2018,8,46724.40588016722,280388.75,272844.13,553232.88,8.445702988616153
2018-09-01,2018,9,44641.721820657505,280388.75,272844.13,553232.88,8.069245960337264
2018-10-01,2018,10,48369.06305021149,280388.75,272844.13,553232.88,8.742984157089776
2018-11-01,2018,11,47466.477999873234,280388.75,272844.13,553232.88,8.57983675877566
2018-12-01,2018,12,46030.3258714036,280388.75,272844.13,553232.88,8.320244066369229
2019-01-01,2019,1,47991.45205344733,264588.22,276661.22,541249.44,8.866790153805486
2019-02-01,2019,2,49279.04904760783,264588.22,276661.22,541249.44,9.104683609022825
2019-03-01,2019,3,46842.64556203992,264588.22,276661.22,541249.44,8.654539312232808
2019-04-01,2019,4,46398.44789588515,264588.22,276661.22,541249.44,8.572470374451594
2019-05-01,2019,5,45963.57568625248,264588.22,276661.22,541249.44,8.49212438654024
2019-06-01,2019,6,46016.458599260375,264588.22,276661.22,541249.44,8.50189491175462
2019-07-01,2019,7,46132.37496781836,264588.22,276661.22,541249.44,8.523311353046086
2019-08-01,2019,8,44324.03846352248,264588.22,276661.22,541249.44,8.189207265234764
2019-09-01,2019,9,43634.40580190737,264588.22,276661.22,541249.44,8.061792322945845
2019-10-01,2019,10,43298.77714404669,264588.22,276661.22,541249.44,7.999782345095211
2019-11-01,2019,11,43026.46090108955,264588.22,276661.22,541249.44,7.949469823209343
2019-12-01,2019,12,43060.05096478311,264588.22,276661.22,541249.44,7.955675846017156
2020-01-01,2020,1,42907.82141675405,242930.28,233996.94,476927.22,8.996723109398967
2020-02-01,2020,2,41881.18298103576,242930.28,233996.94,476927.22,8.781462081580447
2020-03-01,2020,3,45439.52516784215,242930.28,233996.94,476927.22,9.527559607070057
2020-04-01,2020,4,43908.40323658199,242930.28,233996.94,476927.22,9.206520700701878
2020-05-01,2020,5,41546.2151294506,242930.28,233996.94,476927.22,8.711227497027869
2020-06-01,2020,6,43650.91993897612,242930.28,233996.94,476927.22,9.152532736331578
2020-07-01,2020,7,40981.54510693616,242930.28,233996.94,476927.22,8.592829972450756
2020-08-01,2020,8,39364.800184909,242930.28,233996.94,476927.22,8.253838014301008
2020-09-01,2020,9,38352.12533296444,242930.28,233996.94,476927.22,8.04150480925883
2020-10-01,2020,10,36409.23120216211,242930.28,233996.94,476927.22,7.634127320760202
2020-11-01,2020,11,36499.68078733337,242930.28,233996.94,476927.22,7.653092391609221
2020-12-01,2020,12,36944.26282075906,242930.28,233996.94,476927.22,7.7463103952756285
2021-01-01,2021,1,36248.1299446374,319232.81,309835.47,629068.28,5.762193246278036
2021-02-01,2021,2,36521.212481281924,319232.81,309835.47,629068.28,5.805603881550334
2021-03-01,2021,3,35980.70055800608,319232.81,309835.47,629068.28,5.719681265443248
2021-04-01,2021,4,37979.426313307435,319232.81,309835.47,629068.28,6.037409216263048
2021-05-01,2021,5,40465.597021445086,319232.81,309835.47,629068.28,6.432623978663347
2021-06-01,2021,6,40671.97579819348,319232.81,309835.47,629068.28,6.4654310336858
2021-07-01,2021,7,39745.65975006147,319232.81,309835.47,629068.28,6.318178966210389
2021-08-01,2021,8,38769.64570727241,319232.81,309835.47,629068.28,6.163026644305194
2021-09-01,2021,9,39322.849584026815,319232.81,309835.47,629068.28,6.250966840042676
2021-10-01,2021,10,38304.26550842291,319232.81,309835.47,629068.28,6.089047361984761
2021-11-01,2021,11,38153.63829960985,319232.81,309835.47,629068.28,6.065102869216334
2021-12-01,2021,12,37932.68402566336,319232.81,309835.47,629068.28,6.029978816554438
2022-01-01,2022,1,39356.53105963769,382955.94,374265.94,757221.88,5.197489943058392
2022-02-01,2022,2,43611.98474473629,382955.94,374265.94,757221.88,5.7594723418103415
2022-03-01,2022,3,46967.901336342686,382955.94,374265.94,757221.88,6.202660353177154
2022-04-01,2022,4,51572.50387816632,382955.94,374265.94,757221.88,6.810751939466714
2022-05-01,2022,5,49784.706449936835,382955.94,374265.94,757221.88,6.574652392497803
2022-06-01,2022,6,48767.95274164202,382955.94,374265.94,757221.88,6.440378181048072
2022-07-01,2022,7,45579.40564919906,382955.94,374265.94,757221.88,6.019293268334912
2022-08-01,2022,8,46893.960917913704,382955.94,374265.94,757221.88,6.192895656675122
2022-09-01,2022,9,45552.086411656084,382955.94,374265.94,757221.88,6.015685443697967
2022-10-01,2022,10,45030.145154739475,382955.94,374265.94,757221.88,5.946757000040658
2022-11-01,2022,11,44438.10568690317,382955.94,374265.94,757221.88,5.8685712682923485
2022-12-01,2022,12,43498.00814204091,382955.94,374265.94,757221.88,5.744420399215209
2023-01-01,2023,1,42572.57847979506,393502.56,342080.5,735583.06,5.787596370122371
2023-02-01,2023,2,43814.33796653852,393502.56,342080.5,735583.06,5.956409323311295
2023-03-01,2023,3,44669.675302000964,393502.56,342080.5,735583.06,6.072689507287044
2023-04-01,2023,4,46978.50403787269,393502.56,342080.5,735583.06,6.386566873613524
2023-05-01,2023,5,48335.66307073248,393502.56,342080.5,735583.06,6.571068000224539
2023-06-01,2023,6,49954.28106901574,393502.56,342080.5,735583.06,6.79111357852854
2023-07-01,2023,7,49693.92419220266,393502.56,342080.5,735583.06,6.755718952011029
2023-08-01,2023,8,47548.50110054325,393502.56,342080.5,735583.06,6.46405602387625
2023-09-01,2023,9,45774.13627224141,393502.56,342080.5,735583.06,6.222837196963373
2023-10-01,2023,10,43501.99736104284,393502.56,342080.5,735583.06,5.913947686756522
2023-11-01,2023,11,44335.31837367484,393502.56,342080.5,735583.06,6.027234826978592
2023-12-01,2023,12,44793.94447599593,393502.56,342080.5,735583.06,6.0895834762692775
2024-01-01,2024,1,44891.48168813913,388686.41,362852.34,751538.75,5.973275721064168
2024-02-01,2024,2,44860.10329879636,388686.41,362852.34,751538.75,5.969100501976294
2024-03-01,2024,3,45513.90128418022,388686.41,362852.34,751538.75,6.056095082812458
2024-04-01,2024,4,46023.38639755466,388686.41,362852.34,751538.75,6.123887344139562
2024-05-01,2024,5,47150.732116336985,388686.41,362852.34,751538.75,6.27389234638094
2024-06-01,2024,6,46818.99901708953,388686.41,362852.34,751538.75,6.229751828111263
2024-07-01,2024,7,46364.73638309875,388686.41,362852.34,751538.75,6.16930748854916
2024-08-01,2024,8,46625.86018941425,388686.41,362852.34,751538.75,6.204052710444305
2024-09-01,2024,9,46701.340813489776,388686.41,362852.34,751538.75,6.214096187786695
2024-10-01,2024,10,46923.29470523129,388686.41,362852.34,751538.75,6.24362944761415
2024-11-01,2024,11,45307.50957484747,388686.41,362852.34,751538.75,6.0286325322343615
2024-12-01,2024,12,43611.46218841311,388686.41,362852.34,751538.75,5.802955893946002
