period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Claims_Immediate_Counterparty_Basis_Cross_Border_Claims_Excluding_Claims,Claims_on_Local_Residents,Remaining_Maturity_less_than,Claims_on_Local_Residents,Total_Cross_Border_and_Local,Risk_Transfers_Outward_Risk_Transfers_7,Inward_Risk_Transfers_8,Total_Cross_Border_and_Local
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,79,QATAR,777.0,0.0,621.0,0.0,777.0,33.0,167.0,910.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,80,SAUDI ARABIA,1117.0,5.0,908.0,51.0,1173.0,25.0,56.0,1204.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,81,TAIWAN,2153.0,163.0,2101.0,260.0,2576.0,41.0,274.0,2809.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,82,THAILAND,95.0,0.0,57.0,93.0,188.0,47.0,5.0,146.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,83,UNITED ARAB EMIRATES,1556.0,7.0,1036.0,1.0,1564.0,145.0,207.0,1626.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,84,WEST BANK AND GAZA,16.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0
2023Q1,2023,Q1,Table 2,2,All Others,Asia and Pacific,country_data,85,OTHER ASIA AND PACIFIC,2017.0,0.0,457.0,11.0,2028.0,1056.0,352.0,1322.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,89,ALGERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,90,EGYPT,56.0,0.0,43.0,0.0,56.0,11.0,0.0,45.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,91,GHANA,7.0,0.0,7.0,0.0,7.0,1.0,0.0,6.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,92,KENYA,16.0,0.0,16.0,0.0,16.0,1.0,0.0,15.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,93,MOROCCO,18.0,0.0,15.0,0.0,18.0,3.0,0.0,15.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,94,NIGERIA,363.0,0.0,356.0,0.0,363.0,29.0,0.0,334.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,95,SAINT HELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,96,SOUTH AFRICA,233.0,0.0,219.0,0.0,233.0,64.0,34.0,203.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,97,SOUTH SUDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 2,2,All Others,Africa,country_data,98,OTHER AFRICA,436.0,0.0,120.0,0.0,436.0,160.0,17.0,293.0
2023Q1,2023,Q1,Table 2,2,All Others,Banking Centers,country_data,102,BAHAMAS,4146.0,0.0,3717.0,0.0,4146.0,3563.0,107.0,689.0
