period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,subtotal,19,Total,1133774.0,414170.0,1547944.0,752569.0,530210.0,84198.0,354842.0,56037.0,428435.0,8.0,203826.0,428435.0
2018Q4,2018,Q4,Table 3,3,LFI,G-10 and Luxembourg,empty,20,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,region_header,21,Non G-10 Developed Countries,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,22,AUSTRALIA,4139.0,43836.0,47975.0,58912.0,21569.0,9826.0,30651.0,1958.0,4789.0,0.0,2599.0,4789.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,23,AUSTRIA,6.0,63.0,69.0,6375.0,-70.0,2457.0,3787.0,1210.0,664.0,0.0,197.0,664.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,24,CYPRUS,0.0,0.0,0.0,2413.0,-1.0,0.0,1167.0,0.0,404.0,0.0,117.0,404.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,25,DENMARK,1781.0,975.0,2756.0,9795.0,-2355.0,16.0,3011.0,124.0,3314.0,0.0,618.0,3314.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,26,FINLAND,349.0,800.0,1149.0,5802.0,-878.0,2087.0,5112.0,834.0,998.0,0.0,185.0,998.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,27,GREECE,42.0,1837.0,1879.0,3085.0,-1632.0,0.0,1700.0,42.0,6948.0,0.0,6102.0,6948.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,28,IRELAND,10355.0,6918.0,17273.0,81534.0,13839.0,5271.0,16394.0,693.0,27310.0,0.0,2492.0,27310.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,29,ISRAEL,911.0,1321.0,2232.0,4340.0,-515.0,365.0,2856.0,178.0,252.0,0.0,252.0,252.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,30,NEW ZEALAND,12.0,827.0,839.0,2311.0,798.0,124.0,791.0,61.0,575.0,0.0,191.0,575.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,31,NORWAY,125.0,889.0,1014.0,5353.0,-854.0,464.0,3407.0,99.0,5974.0,0.0,1409.0,5974.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,32,PORTUGAL,7.0,282.0,289.0,3068.0,-152.0,75.0,2879.0,719.0,2083.0,0.0,1101.0,2083.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,33,SLOVAKIA,79.0,490.0,569.0,954.0,-310.0,46.0,50.0,20.0,151.0,0.0,143.0,151.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,34,SPAIN,199.0,1767.0,1966.0,17292.0,424.0,2749.0,17734.0,3612.0,2275.0,0.0,1738.0,2275.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,country_data,35,OTHER NON G-10 DEV.,0.0,0.0,0.0,5218.0,1.0,0.0,497.0,7.0,798.0,0.0,658.0,798.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,subtotal,36,Total,18005.0,60005.0,78010.0,206452.0,29864.0,23480.0,90036.0,9557.0,56535.0,0.0,17802.0,56535.0
2018Q4,2018,Q4,Table 3,3,LFI,Non G-10 Developed Countries,empty,37,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,region_header,38,Eastern Europe,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,39,BULGARIA,228.0,212.0,440.0,1208.0,-234.0,40.0,25.0,3.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,40,CZECH REPUBLIC,1166.0,2070.0,3236.0,2869.0,352.0,0.0,825.0,21.0,1779.0,0.0,1779.0,1779.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,41,HUNGARY,696.0,1041.0,1737.0,2655.0,-52.0,778.0,490.0,149.0,146.0,0.0,146.0,146.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,42,KOSOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,43,POLAND,2395.0,7436.0,9831.0,12187.0,2172.0,4085.0,2265.0,466.0,316.0,0.0,283.0,316.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,44,ROMANIA,300.0,1595.0,1895.0,1880.0,-494.0,674.0,331.0,54.0,42.0,0.0,42.0,42.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,45,RUSSIA,2780.0,4398.0,7178.0,12270.0,-136.0,685.0,2466.0,143.0,1193.0,0.0,1083.0,1193.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,46,TURKEY,967.0,1050.0,2017.0,4075.0,554.0,154.0,3479.0,346.0,1208.0,0.0,1093.0,1208.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,country_data,47,OTHER E. EUROPE,261.0,467.0,728.0,2867.0,-183.0,83.0,844.0,242.0,250.0,0.0,185.0,250.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,subtotal,48,Total,8793.0,18269.0,27062.0,40011.0,1979.0,6499.0,10725.0,1424.0,4934.0,0.0,4611.0,4934.0
2018Q4,2018,Q4,Table 3,3,LFI,Eastern Europe,empty,49,,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Latin America and Caribbean,region_header,50,Latin America and Caribbean,,,,,,,,,,,,
2018Q4,2018,Q4,Table 3,3,LFI,Latin America and Caribbean,country_data,51,ANGUILLA,1.0,0.0,1.0,606.0,1.0,0.0,0.0,0.0,140.0,0.0,43.0,140.0
