period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2023Q1,2023,Q1,Table 3,3,All Others,Eastern Europe,empty,49,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,region_header,50,Latin America and Caribbean,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,51,ANGUILLA,4.0,0.0,4.0,135.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,52,ARGENTINA,163.0,441.0,604.0,602.0,710.0,1.0,9.0,0.0,29.0,5.0,28.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,53,BRAZIL,0.0,605.0,605.0,591.0,45.0,235.0,123.0,5.0,224.0,0.0,224.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,54,CHILE,0.0,3.0,3.0,3.0,96.0,306.0,13.0,8.0,147.0,0.0,147.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,55,COLOMBIA,0.0,0.0,0.0,3.0,0.0,40.0,2.0,2.0,149.0,0.0,149.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,56,COSTA RICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,57,DOMINICAN REPUBLIC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,58,ECUADOR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,59,EL SALVADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,60,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,61,GUATEMALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,62,HONDURAS,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,63,MEXICO,159.0,922.0,1081.0,1069.0,3443.0,358.0,10.0,5.0,993.0,0.0,429.0,881.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,64,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,65,PERU,0.0,0.0,0.0,1.0,0.0,125.0,9.0,3.0,82.0,0.0,59.0,23.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,66,URUGUAY,5.0,0.0,5.0,0.0,0.0,15.0,0.0,0.0,8.0,0.0,8.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,67,VENEZUELA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,country_data,68,OTHER LAT. AM. & CAR.,635.0,0.0,635.0,1397.0,-277.0,37.0,20.0,0.0,403.0,0.0,102.0,301.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,subtotal,69,Total,966.0,1971.0,2937.0,3807.0,4017.0,1117.0,187.0,23.0,2045.0,5.0,1147.0,1214.0
2023Q1,2023,Q1,Table 3,3,All Others,Latin America and Caribbean,empty,70,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,region_header,71,Asia and Pacific,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,72,CHINA-MAINLAND,385.0,1277.0,1662.0,1828.0,481.0,164.0,28.0,0.0,18.0,0.0,17.0,1.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,73,INDIA,4.0,699.0,703.0,650.0,1397.0,546.0,4.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,74,INDONESIA,3.0,3.0,6.0,12.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,75,"KOREA, SOUTH",19.0,11.0,30.0,30.0,-5.0,314.0,6.0,0.0,996.0,0.0,0.0,996.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,76,KUWAIT,0.0,0.0,0.0,2376.0,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,1590.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,77,MALAYSIA,0.0,17.0,17.0,3047.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,78,PAKISTAN,0.0,0.0,0.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,79,PHILIPPINES,0.0,95.0,95.0,386.0,127.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,80,QATAR,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,81,SAUDI ARABIA,2.0,2.0,4.0,3610.0,32.0,42.0,0.0,0.0,461.0,0.0,40.0,421.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,82,TAIWAN,33.0,45.0,78.0,94.0,108.0,0.0,41.0,6.0,1443.0,0.0,7.0,1436.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,83,THAILAND,0.0,59.0,59.0,64.0,-6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,84,UNITED ARAB EMIRATES,0.0,3.0,3.0,974.0,-4.0,244.0,4.0,0.0,130.0,0.0,0.0,130.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,85,WEST BANK AND GAZA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,country_data,86,OTHER ASIA AND PACIFIC,0.0,198.0,198.0,734.0,-183.0,48.0,15.0,0.0,131.0,0.0,0.0,131.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,subtotal,87,Total,446.0,2409.0,2855.0,13914.0,1997.0,1559.0,100.0,6.0,4769.0,0.0,64.0,4705.0
2023Q1,2023,Q1,Table 3,3,All Others,Asia and Pacific,empty,88,,,,,,,,,,,,,
2023Q1,2023,Q1,Table 3,3,All Others,Africa,region_header,89,Africa,,,,,,,,,,,,
