date,B. BBVA Perú,BanBif (Banco Interamericano de Finanzas),Banco de Crédito del Perú,Interbank,Scotiabank Perú
2022-08-01,1683.8096015497028,583.1693811903586,1514.7051134532887,840.1592748433396,1178.592212850048
2022-09-01,1616.2086184437755,571.0077011445785,1304.8409187901611,844.7471033483936,1128.9049946862456
2022-10-01,1699.2383279095989,556.2544900127782,1223.4571695948487,823.1681032196635,1024.34146177996
2022-11-01,1676.6176845609032,554.7883826255023,1242.4821311324429,899.9135808613308,1101.3330880425485
2022-12-01,1577.1159772803533,551.6609028517503,1467.0057643164191,871.3241674512474,976.020529636717
2023-01-01,1576.3206536568891,567.0369812128149,1482.0823233131546,832.1874301228925,1105.2027529891657
2023-02-01,1646.5157206978083,541.792174541538,1392.1686446114234,846.3236243891545,1242.662951628922
2023-03-01,1699.92810076273,548.01246258903,1289.747227142023,784.3956211863507,1220.2323526602522
2023-04-01,1618.6608262526934,543.5365497979527,1333.045906659483,762.3887807058185,1253.6088810560348
2023-05-01,1549.3981380587481,534.9179312382819,1310.1903992554553,751.2015458411465,1212.7806128882369
2023-06-01,1553.7223132214324,550.8309550851657,1299.0652084201529,699.5510526349149,1289.2009194724656
2023-07-01,1588.057160197132,574.4449296860289,1169.754795766654,746.1484454925524,1206.9489083587139
2023-08-01,1561.7880021673836,589.7153515139217,1212.6298526152018,683.7584340070903,1176.7020015612743
2023-09-01,1576.2488143794637,574.8231587908173,1322.8800866299453,728.6273116648654,1071.9495859262581
2023-10-01,1634.8436351364028,584.286673133745,1214.0338125641626,708.8029060371553,1010.8798407957487
2023-11-01,1670.3696903218033,601.2735407217184,1412.6712995826979,733.4423070058583,861.6654108445017
2023-12-01,1563.1318707503708,576.7661286434058,1514.0285705967965,735.1081456176757,861.0702412232254
2024-01-01,1580.613612737499,552.1221007121655,1377.7385232622928,702.2972105090272,838.4523116469137
2024-02-01,1570.2855012878485,558.137329028163,1254.1474772524139,672.1801232050768,796.6005221129182
2024-03-01,1536.1335939257856,525.0718120381821,1113.96067557139,651.9533424549614,814.0433083086858
2024-04-01,1473.905132652192,505.69061549220675,1163.0697679738914,643.1013314293333,814.7358720500872
2024-05-01,1522.1124209868606,556.9694202697276,1310.9604583286505,701.7545700891066,871.7718191699449
2024-06-01,1488.7802302032317,555.3681562897344,1499.613245630533,701.3207695049506,869.6916724570083
2024-07-01,1539.6479107936511,559.6066756120522,1498.4889308501445,706.4882297497988,870.7486443018561
2024-08-01,1558.136383227493,559.5097863866805,1370.9131205640647,744.6067283099416,794.8529134772393
2024-09-01,1646.3020788163255,544.9289586334324,1276.9846114321167,678.7299451754739,763.5178059534416
2024-10-01,1590.3013956406382,528.7161400700463,1236.231871424023,624.3485702380004,708.1363126562128
2024-11-01,1535.1590752163004,517.5157556825469,1264.0142958849613,614.1824382663962,689.5464784981847
2024-12-01,1461.3533945579488,522.2445454335597,1215.9351827106766,626.4866074586076,785.3469415914886
