"date","bank_type","tf_usd_millions"
2016-09-01,"Consumer/Retail",0
2016-09-01,"Foreign",1313.00032060105
2016-09-01,"Large Domestic",2079.30230627539
2016-09-01,"Other Domestic",1759.88947484253
2016-10-01,"Consumer/Retail",0
2016-10-01,"Foreign",1212.57014573424
2016-10-01,"Large Domestic",2143.0332487069
2016-10-01,"Other Domestic",1659.3547092717
2016-11-01,"Consumer/Retail",0
2016-11-01,"Foreign",1272.29851775753
2016-11-01,"Large Domestic",1982.50397832532
2016-11-01,"Other Domestic",1651.41384130142
2016-12-01,"Consumer/Retail",0
2016-12-01,"Foreign",1145.26481668751
2016-12-01,"Large Domestic",2181.08102217358
2016-12-01,"Other Domestic",1678.41761211877
2017-01-01,"Consumer/Retail",0
2017-01-01,"Foreign",1204.44859887918
2017-01-01,"Large Domestic",2190.92872396065
2017-01-01,"Other Domestic",1845.74777822617
2017-02-01,"Consumer/Retail",0
2017-02-01,"Foreign",1232.86423346716
2017-02-01,"Large Domestic",2138.22701134267
2017-02-01,"Other Domestic",1883.55836746453
2017-03-01,"Consumer/Retail",0
2017-03-01,"Foreign",1466.40454342008
2017-03-01,"Large Domestic",1989.80333506214
2017-03-01,"Other Domestic",1796.21185410053
2017-04-01,"Consumer/Retail",0
2017-04-01,"Foreign",1514.93577014608
2017-04-01,"Large Domestic",1878.61470122041
2017-04-01,"Other Domestic",1824.90414220907
2017-05-01,"Consumer/Retail",0
2017-05-01,"Foreign",1428.55273629505
2017-05-01,"Large Domestic",1960.00419582773
2017-05-01,"Other Domestic",1960.33504162187
2017-06-01,"Consumer/Retail",0
2017-06-01,"Foreign",1208.65642264441
2017-06-01,"Large Domestic",1993.44831802392
2017-06-01,"Other Domestic",1991.14442269052
2017-07-01,"Consumer/Retail",0
2017-07-01,"Foreign",1337.63760705338
2017-07-01,"Large Domestic",1758.00961398642
2017-07-01,"Other Domestic",1989.8873084295
2017-08-01,"Consumer/Retail",0
2017-08-01,"Foreign",1272.36296371485
2017-08-01,"Large Domestic",1842.25517764862
2017-08-01,"Other Domestic",1900.01385942588
2017-09-01,"Consumer/Retail",0
2017-09-01,"Foreign",1300.66227859308
2017-09-01,"Large Domestic",2160.22451592127
2017-09-01,"Other Domestic",1842.72824704442
2017-10-01,"Consumer/Retail",0
2017-10-01,"Foreign",1218.04113159482
2017-10-01,"Large Domestic",2256.49429886458
2017-10-01,"Other Domestic",1809.96834896766
2017-11-01,"Consumer/Retail",0
2017-11-01,"Foreign",1340.39423866934
2017-11-01,"Large Domestic",2353.1343695369
2017-11-01,"Other Domestic",1880.96132948132
2017-12-01,"Consumer/Retail",0
2017-12-01,"Foreign",1148.99279224622
2017-12-01,"Large Domestic",2304.82687629744
2017-12-01,"Other Domestic",1854.96210708115
2018-01-01,"Consumer/Retail",0
2018-01-01,"Foreign",1337.78881018657
2018-01-01,"Large Domestic",2237.84767252488
2018-01-01,"Other Domestic",1938.13917818097
2018-02-01,"Consumer/Retail",0
2018-02-01,"Foreign",1508.43813322095
2018-02-01,"Large Domestic",2122.97079587765
2018-02-01,"Other Domestic",2117.77256686793
2018-03-01,"Consumer/Retail",0
2018-03-01,"Foreign",1631.93595551219
2018-03-01,"Large Domestic",2275.89431736208
2018-03-01,"Other Domestic",2030.35645094012
2018-04-01,"Consumer/Retail",0
2018-04-01,"Foreign",1659.60464736777
2018-04-01,"Large Domestic",2256.27721723332
2018-04-01,"Other Domestic",2167.12781197809
2018-05-01,"Consumer/Retail",0
2018-05-01,"Foreign",1789.67247523825
2018-05-01,"Large Domestic",2529.35825078497
2018-05-01,"Other Domestic",2286.69985010385
2018-06-01,"Consumer/Retail",0
2018-06-01,"Foreign",1860.48016388796
2018-06-01,"Large Domestic",2593.09334749366
2018-06-01,"Other Domestic",2274.58962751932
2018-07-01,"Consumer/Retail",0
2018-07-01,"Foreign",1825.69800371422
2018-07-01,"Large Domestic",2620.27757297413
2018-07-01,"Other Domestic",2220.00350887627
2018-08-01,"Consumer/Retail",0
2018-08-01,"Foreign",1757.64370653407
2018-08-01,"Large Domestic",2568.5381682211
2018-08-01,"Other Domestic",2100.15681284982
2018-09-01,"Consumer/Retail",0
2018-09-01,"Foreign",1898.18916445455
2018-09-01,"Large Domestic",2693.82634170303
2018-09-01,"Other Domestic",2083.59085737879
2018-10-01,"Consumer/Retail",0
2018-10-01,"Foreign",1795.26988027613
2018-10-01,"Large Domestic",2688.43430555819
2018-10-01,"Other Domestic",2014.06613845903
2018-11-01,"Consumer/Retail",0
2018-11-01,"Foreign",1718.27630664972
2018-11-01,"Large Domestic",2428.32360034579
2018-11-01,"Other Domestic",2083.73726769122
2018-12-01,"Consumer/Retail",0
2018-12-01,"Foreign",1722.1519396161
2018-12-01,"Large Domestic",2205.71603006902
2018-12-01,"Other Domestic",2190.04504702154
2019-01-01,"Consumer/Retail",0
2019-01-01,"Foreign",1538.15627766206
2019-01-01,"Large Domestic",2283.6191232383
2019-01-01,"Other Domestic",2188.32422322629
2019-02-01,"Consumer/Retail",0
2019-02-01,"Foreign",1513.29296864122
2019-02-01,"Large Domestic",2243.71221314587
2019-02-01,"Other Domestic",2152.33455255622
2019-03-01,"Consumer/Retail",0
2019-03-01,"Foreign",1307.18974876367
2019-03-01,"Large Domestic",2335.58790627955
2019-03-01,"Other Domestic",2077.98439327169
2019-04-01,"Consumer/Retail",0
2019-04-01,"Foreign",1460.9932844938
2019-04-01,"Large Domestic",2254.98769048655
2019-04-01,"Other Domestic",2110.53646985494
2019-05-01,"Consumer/Retail",0
2019-05-01,"Foreign",1375.94489556214
2019-05-01,"Large Domestic",2342.78445502
2019-05-01,"Other Domestic",2135.66869659902
2019-06-01,"Consumer/Retail",0
2019-06-01,"Foreign",3105.53991514286
2019-06-01,"Large Domestic",645.654457981763
2019-06-01,"Other Domestic",2239.56635501824
2019-07-01,"Consumer/Retail",0
2019-07-01,"Foreign",2805.89095210851
2019-07-01,"Large Domestic",685.496813212905
2019-07-01,"Other Domestic",2283.69059744442
2019-08-01,"Consumer/Retail",0
2019-08-01,"Foreign",2933.57389600071
2019-08-01,"Large Domestic",690.717494535182
2019-08-01,"Other Domestic",2220.38731399606
2019-09-01,"Consumer/Retail",0
2019-09-01,"Foreign",2924.65853143338
2019-09-01,"Large Domestic",649.916938261975
2019-09-01,"Other Domestic",2152.66024575245
2019-10-01,"Consumer/Retail",0
2019-10-01,"Foreign",2886.76468359506
2019-10-01,"Large Domestic",631.353037249224
2019-10-01,"Other Domestic",2099.62263477729
2019-11-01,"Consumer/Retail",0
2019-11-01,"Foreign",2897.66712541914
2019-11-01,"Large Domestic",620.982053561975
2019-11-01,"Other Domestic",2062.54939370257
2019-12-01,"Consumer/Retail",0
2019-12-01,"Foreign",2528.32499836753
2019-12-01,"Large Domestic",710.386149704285
2019-12-01,"Other Domestic",2012.09928940253
2020-01-01,"Consumer/Retail",0
2020-01-01,"Foreign",2427.01211089273
2020-01-01,"Large Domestic",699.686662011604
2020-01-01,"Other Domestic",2079.06915695004
2020-02-01,"Consumer/Retail",0
2020-02-01,"Foreign",2521.06223129372
2020-02-01,"Large Domestic",700.209471319152
2020-02-01,"Other Domestic",1931.35689915313
2020-03-01,"Consumer/Retail",0
2020-03-01,"Foreign",2875.9742602629
2020-03-01,"Large Domestic",654.606632702263
2020-03-01,"Other Domestic",2075.03457477171
2020-04-01,"Consumer/Retail",0
2020-04-01,"Foreign",2865.47442301529
2020-04-01,"Large Domestic",656.290411992549
2020-04-01,"Other Domestic",2128.42696882706
2020-05-01,"Consumer/Retail",0
2020-05-01,"Foreign",2900.53975325156
2020-05-01,"Large Domestic",615.644830784919
2020-05-01,"Other Domestic",2073.46020282618
2020-06-01,"Consumer/Retail",0
2020-06-01,"Foreign",2809.99526651902
2020-06-01,"Large Domestic",604.766164637175
2020-06-01,"Other Domestic",1986.84558097562
2020-07-01,"Consumer/Retail",0
2020-07-01,"Foreign",2651.36858810987
2020-07-01,"Large Domestic",584.812593742036
2020-07-01,"Other Domestic",1975.54410583605
2020-08-01,"Consumer/Retail",0
2020-08-01,"Foreign",2391.04162314525
2020-08-01,"Large Domestic",501.441397256295
2020-08-01,"Other Domestic",1794.15487353862
2020-09-01,"Consumer/Retail",0
2020-09-01,"Foreign",2069.5989609878
2020-09-01,"Large Domestic",464.626696030446
2020-09-01,"Other Domestic",1570.21410177783
2020-10-01,"Consumer/Retail",0
2020-10-01,"Foreign",1938.44467573326
2020-10-01,"Large Domestic",387.573433386829
2020-10-01,"Other Domestic",1485.00874540399
2020-11-01,"Consumer/Retail",0
2020-11-01,"Foreign",1729.70843789853
2020-11-01,"Large Domestic",393.012011619073
2020-11-01,"Other Domestic",1465.75409759911
2020-12-01,"Consumer/Retail",0
2020-12-01,"Foreign",1667.77444822276
2020-12-01,"Large Domestic",373.09559392869
2020-12-01,"Other Domestic",1497.08446189701
2021-01-01,"Consumer/Retail",0
2021-01-01,"Foreign",1902.91713305034
2021-01-01,"Large Domestic",386.960196013298
2021-01-01,"Other Domestic",1559.32521751291
2021-02-01,"Consumer/Retail",0
2021-02-01,"Foreign",1999.02395055195
2021-02-01,"Large Domestic",405.086653617114
2021-02-01,"Other Domestic",1588.9812486619
2021-03-01,"Consumer/Retail",0
2021-03-01,"Foreign",2125.09306995369
2021-03-01,"Large Domestic",451.651033205579
2021-03-01,"Other Domestic",1520.12246053444
2021-04-01,"Consumer/Retail",0
2021-04-01,"Foreign",2304.44717062284
2021-04-01,"Large Domestic",477.189075125967
2021-04-01,"Other Domestic",1468.28586823806
2021-05-01,"Consumer/Retail",0
2021-05-01,"Foreign",2467.85369084332
2021-05-01,"Large Domestic",589.058360727623
2021-05-01,"Other Domestic",1571.47975158662
2021-06-01,"Consumer/Retail",0
2021-06-01,"Foreign",2380.90550359863
2021-06-01,"Large Domestic",559.38491437121
2021-06-01,"Other Domestic",1828.76305237059
2021-07-01,"Consumer/Retail",0
2021-07-01,"Foreign",2480.24691013407
2021-07-01,"Large Domestic",574.897638697752
2021-07-01,"Other Domestic",1985.7679244307
2021-08-01,"Consumer/Retail",0
2021-08-01,"Foreign",2411.89015482056
2021-08-01,"Large Domestic",599.079314450669
2021-08-01,"Other Domestic",2023.36385978912
2021-09-01,"Consumer/Retail",0
2021-09-01,"Foreign",2348.78440948651
2021-09-01,"Large Domestic",597.662732627406
2021-09-01,"Other Domestic",1970.19177529011
2021-10-01,"Consumer/Retail",0
2021-10-01,"Foreign",2347.09069694859
2021-10-01,"Large Domestic",615.090731806794
2021-10-01,"Other Domestic",1970.53329630223
2021-11-01,"Consumer/Retail",0
2021-11-01,"Foreign",2371.43413615237
2021-11-01,"Large Domestic",593.477158904682
2021-11-01,"Other Domestic",1967.62941961194
2021-12-01,"Consumer/Retail",0
