date,year,month,tf_month,exports_annual,tf_pct_exports
2021-03-01,2021,3,4096.866563693709,66017.578,6.205720791050089
2021-04-01,2021,4,4249.922113986864,66017.578,6.437561393098766
2021-05-01,2021,5,4628.391803157561,66017.578,7.010847630850016
2021-06-01,2021,6,4769.053470340433,66017.578,7.223914622163862
2021-07-01,2021,7,5040.91247326252,66017.578,7.63571252684023
2021-08-01,2021,8,5034.333329060351,66017.578,7.625746780744292
2021-09-01,2021,9,4916.638917404024,66017.578,7.44746939580853
2021-10-01,2021,10,4932.71472505762,66017.578,7.471820194702721
2021-11-01,2021,11,4932.540714668996,66017.578,7.471556612799392
2021-12-01,2021,12,5086.028732874619,66017.578,7.704052294791275
2022-01-01,2022,1,5293.215415947345,71094.258,7.445348703051861
2022-02-01,2022,2,5323.274918770449,71094.258,7.48762989940826
2022-03-01,2022,3,5659.4877833789105,71094.258,7.960541318792455
2022-04-01,2022,4,5838.248619874367,71094.258,8.211983336086533
2022-05-01,2022,5,6052.420615973983,71094.258,8.513234101091516
2022-06-01,2022,6,6278.660470062481,71094.258,8.831459314284539
2022-07-01,2022,7,6632.229951802467,71094.258,9.328784262439967
2022-08-01,2022,8,6520.020920959986,71094.258,9.170952907279778
2022-09-01,2022,9,6206.896680850903,71094.258,8.730517562826105
2022-10-01,2022,10,6056.751815361678,71094.258,8.519326294061159
2022-11-01,2022,11,6143.665568276043,71094.258,8.64157773230581
2022-12-01,2022,12,6057.585526161146,71094.258,8.52049897779529
2023-01-01,2023,1,6258.379069289928,72464.711,8.636450739850366
2023-02-01,2023,2,6412.730807852978,72464.711,8.849453367519782
2023-03-01,2023,3,6359.903075853091,72464.711,8.776552045937354
2023-04-01,2023,4,6273.72251898707,72464.711,8.657624424924665
2023-05-01,2023,5,6118.781874071358,72464.711,8.443809117063006
2023-06-01,2023,6,6171.676833727464,72464.711,8.516803211603872
2023-07-01,2023,7,6115.451455097183,72464.711,8.439213198679814
2023-08-01,2023,8,6059.165774329627,72464.711,8.361539969889106
2023-09-01,2023,9,6107.167863924835,72464.711,8.427781991602554
2023-10-01,2023,10,5956.4172783371105,72464.711,8.2197488903766
2023-11-01,2023,11,6093.046398411042,72464.711,8.408294622759266
2023-12-01,2023,12,5989.339803443357,72464.711,8.265181383864702
2024-01-01,2024,1,5794.22863590519,83660.156,6.925911823431442
2024-02-01,2024,2,5637.843765550707,83660.156,6.738983089573376
2024-03-01,2024,3,5422.48377466792,83660.156,6.481560678261131
2024-04-01,2024,4,5385.6136513440815,83660.156,6.437489372293402
2024-05-01,2024,5,5835.379539685851,83660.156,6.9750999982427135
2024-06-01,2024,6,6009.788695914535,83660.156,7.183573379799261
2024-07-01,2024,7,6083.567461563085,83660.156,7.271762033964036
2024-08-01,2024,8,5946.997534313464,83660.156,7.108518342128675
2024-09-01,2024,9,5818.279593900893,83660.156,6.9546602254732734
2024-10-01,2024,10,5575.9630473082325,83660.156,6.665016315901004
2024-11-01,2024,11,5530.749451324506,83660.156,6.610971955783235
2024-12-01,2024,12,5417.489806394606,83660.156,6.475591327363298
