year,quarter,period,bank_group,country_region,Trade_Finance
2016,4,2016Q4,All Banks,PANAMA,541.0
2017,1,2017Q1,All Others,ANGUILLA,0.0
2017,1,2017Q1,All Others,ARGENTINA,0.0
2017,1,2017Q1,All Others,BRAZIL,180.0
2017,1,2017Q1,All Others,CHILE,40.0
2017,1,2017Q1,All Others,COLOMBIA,12.0
2017,1,2017Q1,All Others,COSTA RICA,12.0
2017,1,2017Q1,All Others,DOMINICAN REPUBLIC,33.0
2017,1,2017Q1,All Others,ECUADOR,22.0
2017,1,2017Q1,All Others,EL SALVADOR,31.0
2017,1,2017Q1,All Others,GUATEMALA,103.0
2017,1,2017Q1,All Others,HONDURAS,14.0
2017,1,2017Q1,All Others,MEXICO,171.0
2017,1,2017Q1,All Others,PERU,33.0
2017,1,2017Q1,All Others,URUGUAY,8.0
2017,1,2017Q1,All Others,VENEZUELA,26.0
2017,1,2017Q1,All Others,BAHAMAS,0.0
2017,1,2017Q1,All Others,CAYMAN ISLANDS,26.0
2017,1,2017Q1,All Others,PANAMA,121.0
2017,1,2017Q1,LFI,ANGUILLA,0.0
2017,1,2017Q1,LFI,ARGENTINA,189.0
2017,1,2017Q1,LFI,BRAZIL,6851.0
2017,1,2017Q1,LFI,CHILE,3654.0
2017,1,2017Q1,LFI,COLOMBIA,1477.0
2017,1,2017Q1,LFI,COSTA RICA,371.0
2017,1,2017Q1,LFI,DOMINICAN REPUBLIC,547.0
2017,1,2017Q1,LFI,ECUADOR,126.0
2017,1,2017Q1,LFI,EL SALVADOR,312.0
2017,1,2017Q1,LFI,GUATEMALA,1011.0
2017,1,2017Q1,LFI,HONDURAS,211.0
2017,1,2017Q1,LFI,MEXICO,1060.0
2017,1,2017Q1,LFI,PERU,872.0
2017,1,2017Q1,LFI,URUGUAY,42.0
2017,1,2017Q1,LFI,VENEZUELA,0.0
2017,1,2017Q1,LFI,BAHAMAS,7.0
2017,1,2017Q1,LFI,CAYMAN ISLANDS,99.0
2017,1,2017Q1,LFI,PANAMA,402.0
2017,1,2017Q1,All Banks,ANGUILLA,0.0
2017,1,2017Q1,All Banks,ARGENTINA,189.0
2017,1,2017Q1,All Banks,BRAZIL,7031.0
2017,1,2017Q1,All Banks,CHILE,3694.0
2017,1,2017Q1,All Banks,COLOMBIA,1489.0
2017,1,2017Q1,All Banks,COSTA RICA,383.0
2017,1,2017Q1,All Banks,DOMINICAN REPUBLIC,580.0
2017,1,2017Q1,All Banks,ECUADOR,148.0
2017,1,2017Q1,All Banks,EL SALVADOR,343.0
2017,1,2017Q1,All Banks,GUATEMALA,1114.0
2017,1,2017Q1,All Banks,HONDURAS,225.0
2017,1,2017Q1,All Banks,MEXICO,1231.0
2017,1,2017Q1,All Banks,PERU,905.0
2017,1,2017Q1,All Banks,URUGUAY,50.0
2017,1,2017Q1,All Banks,VENEZUELA,26.0
2017,1,2017Q1,All Banks,BAHAMAS,7.0
2017,1,2017Q1,All Banks,CAYMAN ISLANDS,125.0
2017,1,2017Q1,All Banks,PANAMA,523.0
2017,2,2017Q2,All Others,ANGUILLA,0.0
2017,2,2017Q2,All Others,ARGENTINA,1.0
2017,2,2017Q2,All Others,BRAZIL,112.0
2017,2,2017Q2,All Others,CHILE,85.0
2017,2,2017Q2,All Others,COLOMBIA,20.0
2017,2,2017Q2,All Others,COSTA RICA,20.0
2017,2,2017Q2,All Others,DOMINICAN REPUBLIC,36.0
2017,2,2017Q2,All Others,ECUADOR,18.0
2017,2,2017Q2,All Others,EL SALVADOR,28.0
2017,2,2017Q2,All Others,GUATEMALA,114.0
2017,2,2017Q2,All Others,HONDURAS,14.0
2017,2,2017Q2,All Others,MEXICO,76.0
2017,2,2017Q2,All Others,PERU,29.0
2017,2,2017Q2,All Others,URUGUAY,4.0
2017,2,2017Q2,All Others,VENEZUELA,29.0
2017,2,2017Q2,All Others,BAHAMAS,0.0
2017,2,2017Q2,All Others,CAYMAN ISLANDS,22.0
2017,2,2017Q2,All Others,PANAMA,125.0
2017,2,2017Q2,LFI,ANGUILLA,0.0
2017,2,2017Q2,LFI,ARGENTINA,216.0
2017,2,2017Q2,LFI,BRAZIL,6570.0
2017,2,2017Q2,LFI,CHILE,3451.0
2017,2,2017Q2,LFI,COLOMBIA,1094.0
2017,2,2017Q2,LFI,COSTA RICA,283.0
2017,2,2017Q2,LFI,DOMINICAN REPUBLIC,486.0
2017,2,2017Q2,LFI,ECUADOR,169.0
2017,2,2017Q2,LFI,EL SALVADOR,226.0
2017,2,2017Q2,LFI,GUATEMALA,988.0
2017,2,2017Q2,LFI,HONDURAS,120.0
2017,2,2017Q2,LFI,MEXICO,1093.0
2017,2,2017Q2,LFI,PERU,848.0
2017,2,2017Q2,LFI,URUGUAY,47.0
2017,2,2017Q2,LFI,VENEZUELA,0.0
2017,2,2017Q2,LFI,BAHAMAS,5.0
2017,2,2017Q2,LFI,CAYMAN ISLANDS,106.0
2017,2,2017Q2,LFI,PANAMA,348.0
2017,2,2017Q2,All Banks,ANGUILLA,0.0
2017,2,2017Q2,All Banks,ARGENTINA,217.0
2017,2,2017Q2,All Banks,BRAZIL,6682.0
2017,2,2017Q2,All Banks,CHILE,3536.0
2017,2,2017Q2,All Banks,COLOMBIA,1114.0
2017,2,2017Q2,All Banks,COSTA RICA,303.0
2017,2,2017Q2,All Banks,DOMINICAN REPUBLIC,522.0
2017,2,2017Q2,All Banks,ECUADOR,187.0
2017,2,2017Q2,All Banks,EL SALVADOR,254.0
2017,2,2017Q2,All Banks,GUATEMALA,1102.0
2017,2,2017Q2,All Banks,HONDURAS,134.0
2017,2,2017Q2,All Banks,MEXICO,1169.0
2017,2,2017Q2,All Banks,PERU,877.0
2017,2,2017Q2,All Banks,URUGUAY,51.0
2017,2,2017Q2,All Banks,VENEZUELA,29.0
2017,2,2017Q2,All Banks,BAHAMAS,5.0
2017,2,2017Q2,All Banks,CAYMAN ISLANDS,128.0
2017,2,2017Q2,All Banks,PANAMA,473.0
2017,3,2017Q3,All Others,ANGUILLA,0.0
2017,3,2017Q3,All Others,ARGENTINA,1.0
2017,3,2017Q3,All Others,BRAZIL,105.0
2017,3,2017Q3,All Others,CHILE,80.0
2017,3,2017Q3,All Others,COLOMBIA,21.0
2017,3,2017Q3,All Others,COSTA RICA,31.0
2017,3,2017Q3,All Others,DOMINICAN REPUBLIC,36.0
2017,3,2017Q3,All Others,ECUADOR,21.0
2017,3,2017Q3,All Others,EL SALVADOR,15.0
2017,3,2017Q3,All Others,GUATEMALA,117.0
2017,3,2017Q3,All Others,HONDURAS,12.0
2017,3,2017Q3,All Others,MEXICO,42.0
2017,3,2017Q3,All Others,PERU,11.0
2017,3,2017Q3,All Others,URUGUAY,0.0
2017,3,2017Q3,All Others,VENEZUELA,33.0
2017,3,2017Q3,All Others,BAHAMAS,0.0
2017,3,2017Q3,All Others,CAYMAN ISLANDS,7.0
2017,3,2017Q3,All Others,PANAMA,117.0
2017,3,2017Q3,LFI,ANGUILLA,0.0
2017,3,2017Q3,LFI,ARGENTINA,183.0
2017,3,2017Q3,LFI,BRAZIL,6985.0
