period,year,quarter,table,table_num,bank_group,region,row_type,original_row_idx,country_region,Foreign_Office_Liabilities_By_Country_of_Foreign_Office_Non_Local_Currency,Local_Currency,Total,By_Country_of_Creditor,Net_Due_To_or,Memorandum_Items_9_Securities_HTM_and_AFS,Trading_Assets_Assets_Held_for_Trading,Offsetting_Positions_for_Trading,Collateralized_Claims_Not_Subject_Total_Collateral,Of_Which_Cash,Of_Which_Same_Country,Of_Which_Resale_Reverse_Repurchase
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,62,HONDURAS,59.0,385.0,444.0,346.0,31.0,185.0,57.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,63,MEXICO,7403.0,82451.0,89854.0,91833.0,28346.0,25439.0,17169.0,1297.0,6696.0,0.0,4258.0,6610.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,64,MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,65,PERU,709.0,1245.0,1954.0,1811.0,522.0,787.0,1151.0,171.0,389.0,0.0,71.0,389.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,66,URUGUAY,258.0,412.0,670.0,833.0,95.0,14.0,430.0,27.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,67,VENEZUELA,0.0,0.0,0.0,55.0,0.0,0.0,121.0,1.0,0.0,0.0,0.0,0.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,country_data,68,OTHER LAT. AM. & CAR.,1252.0,684.0,1936.0,46467.0,465.0,411.0,3347.0,128.0,4148.0,1.0,111.0,4117.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,subtotal,69,Total,11892.0,123261.0,135153.0,187677.0,66565.0,36680.0,85353.0,4850.0,27218.0,2.0,19361.0,26865.0
2024Q2,2024,Q2,Table 3,3,All Banks,Latin America and Caribbean,empty,70,,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,region_header,71,Asia and Pacific,,,,,,,,,,,,
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,72,CHINA-MAINLAND,6136.0,26158.0,32294.0,53179.0,13793.0,8400.0,75130.0,534.0,23224.0,1.0,295.0,23220.0
2024Q2,2024,Q2,Table 3,3,All Banks,Asia and Pacific,country_data,73,INDIA,3259.0,47655.0,50914.0,48130.0,26735.0,13663.0,47250.0,605.0,4939.0,0.0,4939.0,4931.0
